Order_ID,Order_Date,Product_ID,Customer_ID,Region_ID,Quantity,Discount,Unit_Price,Sales_Amount,Profit
50001,2022-01-09,36,1001,4,7,0.14,354,2131.08,230.26096515425456
50002,2022-08-21,18,1053,4,5,0.11,305,1357.25,340.1910246641132
50003,2022-04-09,37,1060,1,4,0.11,336,1196.16,221.37459298819965
50004,2023-10-21,19,1034,3,5,0.26,222,821.4,245.6888332114164
50005,2022-07-27,47,1004,3,5,0.17,172,713.8,85.26401185553581
50006,2022-05-11,28,1017,2,9,0.22,261,1832.22,496.76163013249715
50007,2023-02-08,40,1004,5,9,0.27,138,906.66,177.70228923850314
50008,2022-06-01,20,1043,2,6,0.27,217,950.4599999999999,252.28063496372297
50009,2022-02-23,49,1090,3,4,0.1,298,1072.8,282.60282966242625
50010,2022-04-30,33,1004,1,2,0.29,24,34.08,9.65140148128392
50011,2023-11-04,12,1001,2,3,0.01,280,831.6,132.69841387710463
50012,2023-09-20,15,1071,4,2,0.11,224,398.72,115.61279964247397
50013,2023-08-10,41,1094,4,5,0.27,145,529.25,68.9789477538541
50014,2023-09-17,39,1050,1,6,0.08,353,1948.5600000000002,226.8002162535144
50015,2023-02-24,2,1073,3,5,0.08,411,1890.6000000000001,352.2624594288327
50016,2023-02-26,29,1061,4,2,0.09,197,358.54,95.25138343536923
50017,2022-04-14,41,1035,4,5,0.18,145,594.5,115.73977243231668
50018,2022-09-11,10,1008,5,9,0.13,360,2818.8,749.3986573246026
50019,2022-08-15,2,1024,2,4,0.22,411,1282.32,315.37039696123065
50020,2022-04-22,11,1083,3,2,0.27,313,456.97999999999996,64.83891677955397
50021,2023-05-25,13,1036,2,3,0.2,465,1116.0,323.3903786775603
50022,2023-04-18,10,1050,3,3,0.06,360,1015.1999999999999,113.86100847851407
50023,2022-04-09,14,1043,4,9,0.28,471,3052.08,853.532305960053
50024,2022-06-02,18,1027,5,4,0.08,305,1122.4,180.58146542935918
50025,2022-12-04,9,1032,2,1,0.04,279,267.84,53.57593251895054
50026,2023-12-07,39,1078,4,1,0.03,353,342.40999999999997,63.16450094629169
50027,2022-06-12,28,1018,3,7,0.17,261,1516.4099999999999,203.75532809087616
50028,2023-12-21,3,1028,2,7,0.03,227,1541.33,264.5375019181843
50029,2023-11-12,20,1029,2,2,0.04,217,416.64,57.74084070740604
50030,2022-06-10,6,1016,4,9,0.09,211,1728.0900000000001,243.27583587571533
50031,2023-08-03,27,1099,2,9,0.08,226,1871.28,257.13514322388903
50032,2023-02-02,2,1047,5,5,0.18,411,1685.1000000000001,333.31863752440927
50033,2022-10-04,29,1059,5,3,0.25,197,443.25,115.06161572987811
50034,2023-05-19,38,1031,4,3,0.23,18,41.58,8.889554800758479
50035,2023-01-27,3,1004,3,3,0.08,227,626.52,174.57435837177468
50036,2022-05-15,16,1037,4,6,0.07,261,1456.3799999999999,331.04813245467386
50037,2022-07-14,30,1017,5,4,0.29,389,1104.76,262.7870772292552
50038,2023-02-05,40,1039,1,8,0.0,138,1104.0,257.80767632372226
50039,2023-10-02,2,1048,1,5,0.26,411,1520.7,288.76851901490306
50040,2022-02-02,17,1046,2,1,0.06,199,187.06,44.495544016149495
50041,2023-11-19,41,1090,2,9,0.28,145,939.5999999999999,107.05947971644719
50042,2023-04-05,12,1048,1,1,0.1,280,252.0,68.53651418454942
50043,2023-04-15,35,1039,5,6,0.13,74,386.28,98.71865495390325
50044,2023-01-10,43,1004,2,1,0.21,72,56.88,8.477736004843578
50045,2022-01-22,1,1030,4,3,0.18,200,492.00000000000006,124.7743934986017
50046,2023-11-01,45,1030,4,5,0.1,90,405.0,41.5240507134015
50047,2022-02-07,15,1022,5,7,0.17,224,1301.4399999999998,186.6906758579034
